"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-180 30 1753 12 2015-12-15 736313 0
-180 35 1826 1 2015-01-15 735979 0
-180 35 1826 2 2015-02-15 736010 0
-180 35 1826 3 2015-03-15 736038 0
-180 35 1826 4 2015-04-15 736069 0
-180 35 1826 5 2015-05-15 736099 0
-180 35 1826 6 2015-06-15 736130 0
-180 35 1826 7 2015-07-15 736160 0
-180 35 1826 8 2015-08-15 736191 0
-180 35 1826 9 2015-09-15 736222 0
-180 35 1826 10 2015-10-15 736252 0
-180 35 1826 11 2015-11-15 736283 0
-180 35 1826 12 2015-12-15 736313 0
-180 40 1899 1 2015-01-15 735979 0
-180 40 1899 2 2015-02-15 736010 0
-180 40 1899 3 2015-03-15 736038 0
-180 40 1899 4 2015-04-15 736069 0
-180 40 1899 5 2015-05-15 736099 0
-180 40 1899 6 2015-06-15 736130 0
-180 40 1899 7 2015-07-15 736160 0
-180 40 1899 8 2015-08-15 736191 0
-180 40 1899 9 2015-09-15 736222 0
-180 40 1899 10 2015-10-15 736252 0
-180 40 1899 11 2015-11-15 736283 0
-180 40 1899 12 2015-12-15 736313 0
-180 45 1972 1 2015-01-15 735979 0
-180 45 1972 2 2015-02-15 736010 0
-180 45 1972 3 2015-03-15 736038 0
-180 45 1972 4 2015-04-15 736069 0
-180 45 1972 5 2015-05-15 736099 0
-180 45 1972 6 2015-06-15 736130 0
-180 45 1972 7 2015-07-15 736160 0
-180 45 1972 8 2015-08-15 736191 0
-180 45 1972 9 2015-09-15 736222 0
-180 45 1972 10 2015-10-15 736252 0
-180 45 1972 11 2015-11-15 736283 0
-180 45 1972 12 2015-12-15 736313 0
-180 50 2045 1 2015-01-15 735979 0
-180 50 2045 2 2015-02-15 736010 0
-180 50 2045 3 2015-03-15 736038 0
-180 50 2045 4 2015-04-15 736069 0
-180 50 2045 5 2015-05-15 736099 0
-180 50 2045 6 2015-06-15 736130 0
-180 50 2045 7 2015-07-15 736160 0
-180 50 2045 8 2015-08-15 736191 0
-180 50 2045 9 2015-09-15 736222 0
