"date" "xco2_air" "lat"
736756 409.5755 23.5781784782018
736756 409.9305 26.743683950403
736756 410.2675 30
736756 410.59325 33.3670129692318
736756 410.9215 36.869897645844
736756 411.26925 40.5416018735045
736756 411.64675 44.4270040008057
736756 412.05 48.5903778907291
736756 407.15325 5.73917047726679
736756 412.46025 53.130102354156
736756 412.84975 58.2116693829484
736756 413.19175 64.1580672368329
736756 413.47125 71.8051276612332
736756 407.6415 8.62692655867864
736756 413.69025 90
736787 403.1734 -11.5369590328155
736787 402.7686 -14.4775121859299
736787 402.5174 -17.4576031237221
736787 405.4594 -2.86598398259886
736787 402.363 -20.4873151147227
736787 402.2466 -23.5781784782018
736787 402.1274 -26.743683950403
736787 401.9934 -30
736787 401.856 -33.3670129692318
736787 401.7332 -36.869897645844
736787 401.6408 -40.5416018735045
736787 401.5814 -44.4270040008057
736787 401.5486 -48.5903778907291
736787 404.5486 -5.73917047726679
736787 401.5338 -53.130102354156
736787 401.5294 -58.2116693829484
736787 401.5324 -64.1580672368329
736787 401.54 -71.8051276612332
736787 403.768 -8.62692655867864
736787 401.551 -90
736787 406.4048 0
736787 409.1052 11.5369590328155
736787 409.4624 14.4775121859299
736787 409.7532 17.4576031237221
736787 407.2872 2.86598398259886
736787 410.0138 20.4873151147227
736787 410.2714 23.5781784782018
736787 410.5426 26.743683950403
736787 410.8384 30
736787 411.1636 33.3670129692318
736787 411.5152 36.869897645844
736787 411.873 40.5416018735045
736787 412.2072 44.4270040008057
736787 412.5018 48.5903778907291
736787 408.0402 5.73917047726679
736787 412.7618 53.130102354156
736787 412.9972 58.2116693829484
736787 413.211 64.1580672368329
736787 413.4 71.8051276612332
736787 408.6422 8.62692655867864
736787 413.5604 90
736817 403.272666666667 -11.5369590328155
736817 402.802 -14.4775121859299
736817 402.504333333333 -17.4576031237221
736817 405.667666666667 -2.86598398259886
736817 402.341 -20.4873151147227
736817 402.256333333333 -23.5781784782018
736817 402.199333333333 -26.743683950403
736817 402.144 -30
736817 402.087333333333 -33.3670129692318
736817 402.037333333333 -36.869897645844
736817 402.001333333333 -40.5416018735045
736817 401.982333333333 -44.4270040008057
736817 401.976 -48.5903778907291
736817 404.741 -5.73917047726679
736817 401.976666666667 -53.130102354156
736817 401.978 -58.2116693829484
736817 401.979333333333 -64.1580672368329
736817 401.980666666667 -71.8051276612332
736817 403.926666666667 -8.62692655867864
736817 401.985333333333 -90
736817 406.64 0
736817 409.700333333333 11.5369590328155
736817 410.047333333333 14.4775121859299
736817 410.22 17.4576031237221
736817 407.588 2.86598398259886
736817 410.259333333333 20.4873151147227
736817 410.226666666667 23.5781784782018
736817 410.198333333333 26.743683950403
736817 410.248666666667 30
736817 410.433 33.3670129692318
