"WMIOD" "tracer" "cycle" "longitude_E" "longitude_median_PS_E" "latitude_N" "latitude_median_PS_E" "season_label" "date" "time" "mean_tracer_concentration_mmol_m3" "mean_tracer_concentration_error_mmol_m3" "tracer_dt_mmol_m2_d1" "tracer_dt_error_mmol_m2_d1" "gas_mmol_m2_d1" "gas_error_mmol_m2_d1" "EP_mmol_m2_d1" "EP_error_mmol_m2_d1" "entrainment_mmol_m2_d1" "entrainment_error_mmol_m2_d1" "vertical_diffusion_mmol_m2_d1" "vertical_diffusion_error_mmol_m2_d1" "vertical_advection_mmol_m2_d1" "vertical_advection_error_mmol_m2_d1" "tracer_background_dt_mmol_m2_d1" "Bio_mmol_m2_d1" "Bio_error_mmol_m2_d1" "latitude_median_PS_N" "integration_depth_m" "MLD_m"
5904395 "DIC" 29 -149.075 -149.8 -39.085 -38.95 "Not applicable" 735859.441759272 2014-09-17 2113.26547993614 12.2298201060123 11.7348294649004 0.178749107976586 1.36262443778124 0.547423748823298 0 0 0 0 0.184709498971421 0.0568859066822425 0.291617510666275 0.122553949299785 0 9.89587801748142 0.640895995237038 "Not applicable" 84 99
5904395 "DIC" 30 -149.076 -149.8 -39.165 -38.95 "Not applicable" 735864.76021993 2014-09-22 2112.17329978871 12.2292407500871 14.6469083928137 0.206736799827267 1.24815099139231 0.50143493383845 0 0 0 0 0.0876615226138891 0.0769089781110504 0.476932205430933 0.196944317520179 0 12.8341636733766 0.569608208849254 "Not applicable" 84 44
5904395 "DIC" 31 -148.978 -149.8 -39.319 -38.95 "Not applicable" 735870.03337963 2014-09-28 2114.82153567248 12.2295594389624 13.5834929081385 0.188401287410733 1.2364305181572 0.496726325054951 0 0 0 0 0.125164732569391 0.0609520575623357 0.72500501357898 0.307923174630723 0 11.496892643833 0.430956149757466 "Not applicable" 83 108
5904395 "DIC" 32 -148.867 -149.8 -39.518 -38.95 "Not applicable" 735875.326840287 2014-10-03 2114.77544848039 12.2298356490003 14.5510564298513 0.240355404306096 1.22744651652212 0.493117072411194 0 0 0 0 1.03304058237266 0.232868559777869 0.681637674157941 0.290313757102573 0 11.6089316567985 0.580454099884258 "Not applicable" 83 109
5904395 "DIC" 33 -148.824 -149.8 -39.797 -38.95 "Not applicable" 735880.695092613 2014-10-08 2116.0793827898 12.2299216354312 10.7999808067263 0.227943180499748 1.19451888837394 0.479888654410644 0 0 0 0 0.663828481660404 0.137391556876393 0.595274351052502 0.253232940366721 0 8.34635908563944 0.474907351912391 "Not applicable" 82 71
5904395 "DIC" 35 -148.433 -149.8 -40.276 -38.95 "Not applicable" 735891.471354181 2014-10-19 2117.1574198311 12.2298974311 4.8599908428211 0.16170859002066 1.17303228620758 0.471256579437341 0 0 0 0 0.684458174290065 0.146152667992062 0.542967011691508 0.230713679492214 0 2.45953337063194 0.416974940978052 "Not applicable" 82 74
5904395 "DIC" 36 -148.168 -149.8 -40.253 -38.95 "Not applicable" 735896.726817151 2014-10-24 2116.75556628809 12.229488778516 1.37402513157287 0.167693080834491 1.23125090308927 0.494645455066621 0 0 0 0 1.39856902846012 0.304927760981039 0.45943838496042 0.21255148086321 0 -1.71523318493694 0.536765925273645 "Not applicable" 83 63
5904395 "DIC" 37 -147.962 -149.8 -40.101 -38.95 "Not applicable" 735901.973564844 2014-10-29 2115.51760457666 12.2295351984893 1.59706257563119 0.224165914795627 0.851198530433875 0.341962376134781 0 0 0 0 1.50243000714178 0.322333789065534 0.319074712144785 0.150496963005325 0 -1.07564067408926 0.510894298444034 "Not applicable" 86 97
5904395 "DIC" 38 -147.811 -149.8 -39.875 -38.95 "Not applicable" 735907.367986122 2014-11-04 2114.71833402624 12.2289073108197 -3.15157164020419 0.158588532372978 1.01487021107596 0.407716198324549 0 0 0 0 1.39283462978728 0.29721419455292 0.675575123980564 0.313498415038663 0 -6.234851605048 0.360276465409982 "Not applicable" 88 40
5904395 "DIC" 39 -147.812 -149.8 -39.642 -38.95 "Not applicable" 735912.672372705 2014-11-09 2114.95224191835 12.2286691318806 -5.76183320945204 0.161821496643387 0.949459020532711 0.381437762279114 0 0 0 0 2.2566066012381 0.45960191356094 0.995083593509961 0.458560178517853 0 -9.96298242473281 0.42394806502779 "Not applicable" 90 54
